ArrestNumber,ArresteeID,ArrestYr
20-019056,102764091,2020
20-019056,102011379,2020
20-019056,102430669,2020
20-019890,102393712,2020
20-019890,102763700,2020
20-019890,101894585,2020
20-019890,102430038,2020
20-019890,102766087,2020
20-020321,101984965,2020
20-020321,102765478,2020
20-020321,102704653,2020
20-020321,102355143,2020
20-020231,102547196,2020
20-020231,102765152,2020
20-020231,102766080,2020
20-020231,102763347,2020
21-024744,102765928,2021
19-005411,25107796,2019
19-005411,102177338,2019
19-001405,102717211,2019
19-001405,15315302,2019
20-017772,102764312,2020
20-029313,102764054,2020
20-023177,102032034,2020
20-038904,100847584,2020
21-025570,101869857,2021
21-020963,101922770,2021
16-037258,102068149,2016
20-022161,101874431,2020
19-018499,101869857,2019
20-035425,101922770,2020
20-011792,102068149,2020
21-021684,101874431,2021
21-021949,101869857,2021
21-021949,101922770,2021
21-021949,102068149,2021
21-021949,101874431,2021
21-020464,101869857,2021
21-020464,101922770,2021
21-020464,102068149,2021
21-020464,101874431,2021
20-039862,102700499,2020
20-039862,102764202,2020
20-039862,102765320,2020
20-039862,102316451,2020
21-013590,102286902,2021
21-013590,102272113,2021
21-013590,102309331,2021
21-013590,102382247,2021
20-006681,102253350,2020
20-025841,102459253,2020
20-009978,102424298,2020
21-025639,102444043,2021
20-031411,102316451,2020
19-042056,102286902,2019
21-025704,102272113,2021
21-025540,102309331,2021
21-025411,102382247,2021
21-025383,102253350,2021
20-024585,102459253,2020
20-024585,102424298,2020
20-028031,102444043,2020
20-028031,102316451,2020
21-016481,102286902,2021
19-017906,102272113,2019
19-027179,102309331,2019
19-024207,102382247,2019
21-025625,102253350,2021
21-021966,102459253,2021
18-008384,102424298,2018
19-020021,102444043,2019
19-011411,102316451,2019
20-011299,102286902,2020
21-021937,102272113,2021
20-024474,102309331,2020
21-025799,102382247,2021
21-021952,102253350,2021
19-017424,102459253,2019
20-035338,102424298,2020
21-025183,102444043,2021
21-025183,102316451,2021
21-008642,102286902,2021
21-008642,102272113,2021
20-021235,102309331,2020
19-024299,102382247,2019
19-010384,102253350,2019
19-025291,102459253,2019
19-018150,102424298,2019
19-018150,102444043,2019
19-019420,102316451,2019
19-019420,102286902,2019
21-025578,102272113,2021
20-029319,102309331,2020
20-029346,102382247,2020
20-026537,102253350,2020
20-026389,102459253,2020
21-021797,102424298,2021
21-025273,102444043,2021
20-003679,102316451,2020
20-027135,102286902,2020
19-035537,102272113,2019
20-017664,102309331,2020
20-023242,102382247,2020
20-021351,102253350,2020
20-016601,102459253,2020
20-010150,102424298,2020
21-021856,102444043,2021
19-023801,102316451,2019
20-035310,102286902,2020
19-014798,102272113,2019
20-007220,102309331,2020
21-025819,102382247,2021
19-009024,102253350,2019
19-003044,102459253,2019
20-019495,102424298,2020
19-018181,102444043,2019
20-035313,102316451,2020
19-042870,102286902,2019
20-005969,102272113,2020
19-008684,102309331,2019
20-022702,102382247,2020
19-009547,102253350,2019
19-025534,102459253,2019
19-027095,102424298,2019
20-014728,102444043,2020
19-000254,102761902,2019
20-024779,102763769,2020
20-018765,101957334,2020
21-018700,102454367,2021
21-028039,102175045,2021
20-014425,102765167,2020
18-010513,102331862,2018
20-039231,102355877,2020
21-025377,102334134,2021
20-015669,102307852,2020
20-019670,102331862,2020
21-025081,102355877,2021
20-019063,102334134,2020
21-025837,102307852,2021
21-026892,102331862,2021
19-019572,102355877,2019
19-042830,102334134,2019
19-042830,102307852,2019
19-044847,102331862,2019
19-044847,102355877,2019
19-037150,102334134,2019
21-021673,102307852,2021
19-004427,102418240,2019
20-029291,102764239,2020
20-029291,101701564,2020
20-039523,102766735,2020
20-039523,102389095,2020
21-025271,102584834,2021
20-017654,102355244,2020
21-025823,101386316,2021
21-000483,101950717,2021
20-014656,101795093,2020
19-005777,10663098,2019
20-025914,102336923,2020
20-004483,101944036,2020
19-017801,102346436,2019
21-021941,102365970,2021
21-025711,102767352,2021
20-029090,102767488,2020
18-036285,102403772,2018
21-025921,102764293,2021
20-024350,102427032,2020
20-004131,102767203,2020
20-011988,102071425,2020
19-000354,102767444,2019
21-021712,102234141,2021
21-018754,102733128,2021
21-025555,102413569,2021
21-021883,102763686,2021
20-025798,102585364,2020
20-025798,102767736,2020
16-053565,102320721,2016
16-053565,100394973,2016
18-029909,102767910,2018
21-021943,102361732,2021
20-024264,102336454,2020
20-024264,102768678,2020
20-012828,102769061,2020
20-012828,15526680,2020
19-004559,102768668,2019
19-004559,102653562,2019
20-029361,102418787,2020
21-025463,101953280,2021
20-035246,102538791,2020
19-023229,102399764,2019
21-025653,102538791,2021
20-037459,102399764,2020
21-021639,100240850,2021
19-031978,48121403,2019
20-022981,48121403,2020
20-021974,102304110,2020
20-018595,102362625,2020
20-018595,102304110,2020
17-020094,102362625,2017
17-020094,102758363,2017
20-003332,102034988,2020
20-016368,102734498,2020
20-020710,102727669,2020
21-021902,102657617,2021
20-005647,100817351,2020
18-043418,102739488,2018
20-024113,102734498,2020
21-025024,102727669,2021
19-035224,102657617,2019
