county,year,month,year_month_str,months_from_reform,n_total_hearings,n_felony_hearings,n_ror,n_hdob,n_hwob,pct_ror,pct_hdob,pct_hwob,pct_felony
Charles,2018,10,2018-10,23,97,7,52,22,23,53.608247422680414,22.68041237113402,23.711340206185568,7.216494845360825
Charles,2018,11,2018-11,24,94,7,46,10,38,48.93617021276596,10.638297872340425,40.42553191489362,7.446808510638298
Charles,2018,12,2018-12,25,91,10,46,21,24,50.54945054945055,23.076923076923077,26.373626373626372,10.989010989010989
Dorchester,2016,1,2016-01,-10,41,2,3,35,3,7.317073170731708,85.36585365853658,7.317073170731708,4.878048780487805
Dorchester,2016,2,2016-02,-9,33,5,3,26,4,9.090909090909092,78.78787878787878,12.121212121212121,15.151515151515152
Dorchester,2016,3,2016-03,-8,49,6,7,34,8,14.285714285714286,69.38775510204081,16.3265306122449,12.244897959183673
Dorchester,2016,4,2016-04,-7,55,9,10,39,6,18.181818181818183,70.9090909090909,10.909090909090908,16.363636363636363
Dorchester,2016,5,2016-05,-6,67,17,8,57,2,11.940298507462687,85.07462686567165,2.985074626865672,25.37313432835821
Dorchester,2016,6,2016-06,-5,51,6,8,32,11,15.686274509803921,62.745098039215684,21.568627450980394,11.764705882352942
Dorchester,2016,7,2016-07,-4,66,9,7,55,4,10.606060606060606,83.33333333333333,6.0606060606060606,13.636363636363637
Dorchester,2016,8,2016-08,-3,52,12,9,37,6,17.307692307692307,71.15384615384616,11.538461538461538,23.076923076923077
Dorchester,2016,9,2016-09,-2,39,4,9,25,5,23.076923076923077,64.1025641025641,12.820512820512821,10.256410256410257
Dorchester,2016,10,2016-10,-1,45,4,10,29,6,22.22222222222222,64.44444444444444,13.333333333333334,8.88888888888889
Dorchester,2016,11,2016-11,0,43,6,12,23,8,27.906976744186046,53.48837209302326,18.6046511627907,13.953488372093023
Dorchester,2016,12,2016-12,1,33,7,16,8,9,48.484848484848484,24.242424242424242,27.272727272727273,21.21212121212121
Dorchester,2017,1,2017-01,2,41,7,15,4,22,36.58536585365854,9.75609756097561,53.65853658536585,17.073170731707318
Dorchester,2017,2,2017-02,3,35,2,17,7,11,48.57142857142857,20.0,31.428571428571427,5.714285714285714
Dorchester,2017,3,2017-03,4,31,3,10,8,13,32.25806451612903,25.806451612903224,41.935483870967744,9.67741935483871
Dorchester,2017,4,2017-04,5,45,5,16,18,11,35.55555555555556,40.0,24.444444444444443,11.11111111111111
Dorchester,2017,5,2017-05,6,26,8,3,14,9,11.538461538461538,53.84615384615385,34.61538461538461,30.76923076923077
Dorchester,2017,6,2017-06,7,36,4,15,13,8,41.666666666666664,36.111111111111114,22.22222222222222,11.11111111111111
Dorchester,2017,7,2017-07,8,32,10,9,14,9,28.125,43.75,28.125,31.25
Dorchester,2017,8,2017-08,9,27,3,9,10,8,33.333333333333336,37.03703703703704,29.62962962962963,11.11111111111111
Dorchester,2017,9,2017-09,10,50,6,13,11,26,26.0,22.0,52.0,12.0
Dorchester,2017,10,2017-10,11,31,5,17,6,8,54.83870967741935,19.35483870967742,25.806451612903224,16.129032258064516
Dorchester,2017,11,2017-11,12,41,4,20,6,15,48.78048780487805,14.634146341463415,36.58536585365854,9.75609756097561
Dorchester,2017,12,2017-12,13,26,3,9,5,12,34.61538461538461,19.23076923076923,46.15384615384615,11.538461538461538
Dorchester,2018,1,2018-01,14,44,2,16,9,19,36.36363636363637,20.454545454545453,43.18181818181818,4.545454545454546
Dorchester,2018,2,2018-02,15,41,4,22,6,13,53.65853658536585,14.634146341463415,31.70731707317073,9.75609756097561
Dorchester,2018,3,2018-03,16,45,8,19,7,19,42.22222222222222,15.555555555555555,42.22222222222222,17.77777777777778
Dorchester,2018,4,2018-04,17,38,4,14,4,20,36.8421052631579,10.526315789473685,52.63157894736842,10.526315789473685
Dorchester,2018,5,2018-05,18,34,4,13,5,16,38.23529411764706,14.705882352941176,47.05882352941177,11.764705882352942
Dorchester,2018,6,2018-06,19,47,9,15,11,21,31.914893617021278,23.404255319148938,44.680851063829785,19.148936170212767
Dorchester,2018,7,2018-07,20,41,4,11,10,20,26.829268292682926,24.390243902439025,48.78048780487805,9.75609756097561
Dorchester,2018,8,2018-08,21,46,6,8,6,32,17.391304347826086,13.043478260869565,69.56521739130434,13.043478260869565
Dorchester,2018,9,2018-09,22,35,4,12,5,18,34.285714285714285,14.285714285714286,51.42857142857143,11.428571428571429
Dorchester,2018,10,2018-10,23,48,2,7,10,31,14.583333333333334,20.833333333333332,64.58333333333333,4.166666666666667
Dorchester,2018,11,2018-11,24,40,5,8,7,25,20.0,17.5,62.5,12.5
Dorchester,2018,12,2018-12,25,36,4,4,6,26,11.11111111111111,16.666666666666668,72.22222222222223,11.11111111111111
Frederick,2016,1,2016-01,-10,129,9,56,57,16,43.41085271317829,44.18604651162791,12.4031007751938,6.976744186046512
Frederick,2016,2,2016-02,-9,134,10,55,60,19,41.04477611940298,44.776119402985074,14.17910447761194,7.462686567164179
Frederick,2016,3,2016-03,-8,127,8,48,68,11,37.79527559055118,53.54330708661417,8.661417322834646,6.299212598425197
Frederick,2016,4,2016-04,-7,159,23,66,72,21,41.509433962264154,45.283018867924525,13.20754716981132,14.465408805031446
Frederick,2016,5,2016-05,-6,165,14,72,79,14,43.63636363636363,47.878787878787875,8.484848484848484,8.484848484848484
Frederick,2016,6,2016-06,-5,160,16,77,67,16,48.125,41.875,10.0,10.0
Frederick,2016,7,2016-07,-4,133,12,71,49,13,53.38345864661654,36.8421052631579,9.774436090225564,9.022556390977444
Frederick,2016,8,2016-08,-3,158,20,68,81,9,43.037974683544306,51.265822784810126,5.69620253164557,12.658227848101266
Frederick,2016,9,2016-09,-2,127,10,54,58,15,42.51968503937008,45.669291338582674,11.811023622047244,7.874015748031496
Frederick,2016,10,2016-10,-1,127,11,57,54,16,44.881889763779526,42.51968503937008,12.598425196850394,8.661417322834646
Frederick,2016,11,2016-11,0,111,11,48,39,24,43.24324324324324,35.13513513513514,21.62162162162162,9.90990990990991
Frederick,2016,12,2016-12,1,83,3,33,31,19,39.75903614457831,37.34939759036145,22.89156626506024,3.6144578313253013
Frederick,2017,1,2017-01,2,133,9,42,54,37,31.57894736842105,40.6015037593985,27.81954887218045,6.7669172932330826
Frederick,2017,2,2017-02,3,154,12,55,63,36,35.714285714285715,40.90909090909091,23.376623376623378,7.792207792207792
